jobTitle,companyName,salary,skills,jobUrl,approvedOn,expiredOn
Product Manager Assistant,Olympia Tools International INC,Thương lượng,"Product Management, Market Research, Competitive Analysis, English, Product Planning",https://www.vietnamworks.com/product-manager-assistant-1993371-jv,2025-12-16T15:07:37+07:00,2026-01-15T23:59:59+07:00
Trưởng Phòng Phân Tích & Khai Thác Dữ Liệu,Ngân hàng TMCP Tiên Phong (TPBank),Thương lượng,"Phân tích dữ liệu, AI/ML, MLOps, SQL, MLOps, Vector Databases, Vector Databases, Vector Databases",https://www.vietnamworks.com/truong-phong-phan-tich-and-khai-thac-du-lieu-1983571-jv,2025-11-19T14:04:18+07:00,2025-12-19T23:59:59+07:00
Backend Developer (Golang),Navigos Group,Thương lượng,"Golang, Node.JS, PHP, AI/ML, Cloud",https://www.vietnamworks.com/backend-developer-golang--1990946-jv,2025-12-09T09:47:30+07:00,2026-01-08T23:59:59+07:00
IT Staff - MES (Production Operating System/ Xe Đưa Đón Hà Nội Hưng Yên Hải Dương),"Nikkiso Vietnam, Inc",Thương lượng,"English, ERP, Maintenance Management, Troubleshooting Analysis, Hardware Support",https://www.vietnamworks.com/it-staff-mes-production-operating-system-xe-dua-don-ha-noi-hung-yen-hai-duong--1991496-jv,2025-12-10T14:43:54+07:00,2026-01-09T23:59:59+07:00
"Product Owner (SaaS Bi/data - Martech, Adtech, Ecommerce)",Công ty cổ phần Khoa học Dữ liệu,Thương lượng,"AdTech Platforms, Data Analytics, Ecosystem, Martech, Product Owner",https://www.vietnamworks.com/product-owner-saas-bidata-martech-adtech-ecommerce-1981886-jv,2025-12-16T09:47:07+07:00,2026-01-15T23:59:59+07:00
[Healthcare] Data Engineer,FPT Software,Thương lượng,"Data Architecture, ETL, Hadoop, Big Data, Data Warehouse",https://www.vietnamworks.com/healthcare-data-engineer-1993359-jv,2025-12-16T14:32:36+07:00,2026-01-15T23:59:59+07:00
Java Technical Lead,FPT Software,Thương lượng,"Azure, PowerShell, OneDrive, Microsoft 365",https://www.vietnamworks.com/java-technical-lead--1993356-jv,2025-12-16T14:32:27+07:00,2026-01-15T23:59:59+07:00
Chuyên Viên Cao Cấp Phân Tích và Kiểm Thử Giải Pháp Corebanking,Ngân Hàng TMCP Quốc Tế Việt Nam (VIB),Thương lượng,"Phân tích giải pháp, Phân Tích Nghiệp Vụ, Corebanking, Core Banking, T24",https://www.vietnamworks.com/chuyen-vien-cao-cap-phan-tich-va-kiem-thu-giai-phap-corebanking-1993196-jv,2025-12-16T10:15:57+07:00,2026-01-15T23:59:59+07:00
Đống Đa HN - Tuyển Gấp Kỹ Sư Cầu Nối BrSE - Thưởng và Chế Độ Hấp Dẫn,"Neos Vietnam International Co., Ltd",Thương lượng,"Japanese, Tiếng Nhật N2, Cloud AWS, BrSE, Kỹ Sư Cầu Nối",https://www.vietnamworks.com/dong-da-hn-tuyen-gap-ky-su-cau-noi-brse-thuong-va-che-do-hap-dan-1975836-jv,2025-12-01T17:11:27+07:00,2025-12-31T23:59:59+07:00
Trưởng Phòng Hạ Tầng & Dịch Vụ CNTT kiêm Trưởng Phòng Bảo Mật Hệ Thống,Công Ty Cổ Phần Vàng Bạc Đá Quý Bảo Tín Mạnh Hải,Thương lượng,"Khoa Học Máy Tính, Bảo Mật Hệ Thống, Quản Trị Hạ Tầng CNTT, CI/CD, DevOps",https://www.vietnamworks.com/truong-phong-ha-tang-dich-vu-cntt-kiem-truong-phong-bao-mat-he-thong-1985451-jv,2025-11-25T13:29:45+07:00,2025-12-25T23:59:59+07:00
Trưởng Phòng Quản Lý Dữ Liệu & BI,Công Ty Cổ Phần Vàng Bạc Đá Quý Bảo Tín Mạnh Hải,Thương lượng,"Data Warehouse, Data Lake, SQL, Power BI, Azure",https://www.vietnamworks.com/truong-phong-quan-ly-du-lieu-bi-1985452-jv,2025-11-25T13:29:40+07:00,2025-12-25T23:59:59+07:00
Senior Data Engineer (Up to 55Mil VND),Công Ty TNHH LOTTE C&F Vietnam,Thương lượng,"Apache Airflow, Apache Airflow, Apache Airflow, Cloud Platforms, Oracle, Python, SQL",https://www.vietnamworks.com/senior-data-engineer-up-to-55mil-vnd-1991058-jv,2025-12-09T13:43:14+07:00,2026-01-08T23:59:59+07:00
"Cyber Security Feature Test (Hybrid Working + Salary Up to $2,500 + Relocation Bonus)",LG Electronics Development Vietnam Company Limited,Thương lượng,"Cyber Security Analysis, Firewall, C/C++, OOP, SDLC Security",https://www.vietnamworks.com/cyber-security-feature-test-hybrid-working-salary-up-to-2-500-relocation-bonus--1991863-jv,2025-12-11T11:12:38+07:00,2026-01-10T23:59:59+07:00
Software Architect - Salary Up to 2500$ - Hybrid Working - Relocation Bonus - Sign On Bonus,LG Electronics Development Vietnam Company Limited,Thương lượng,"C++, Software Architecture Design, CPU Design, English, Automotive",https://www.vietnamworks.com/software-architect-salary-up-to-2500-hybrid-working-relocation-bonus-sign-on-bonus--1991865-jv,2025-12-11T11:13:46+07:00,2026-01-10T23:59:59+07:00
C / C++ Software Engineer - Salary Up to 2500$ - Hybrid Working,LG Electronics Development Vietnam Company Limited,Thương lượng,"C++, C/C++, Software Development, OOP",https://www.vietnamworks.com/c-c-plus-plus-software-engineer-salary-up-to-2500-hybrid-working--1991869-jv,2025-12-11T11:15:12+07:00,2026-01-10T23:59:59+07:00
Performance Optimization Wowsuite,WOWSUITE SOFTWARE,Thương lượng,"Data Analysis, Cro Execution, Problem Solving, Automation, Critical Thinking",https://www.vietnamworks.com/performance-optimization-wowsuite-1993297-jv,2025-12-16T13:08:26+07:00,2026-01-15T23:59:59+07:00
PMO (Manager/ Expert Level),Công Ty Cổ Phần Vinsmart Future,Thương lượng,"PMO, Cloud, Project Management, Agile, Infrastructure",https://www.vietnamworks.com/pmo-manager-expert-level-1985955-jv,2025-11-26T12:02:25+07:00,2025-12-26T23:59:59+07:00
Nhân Viên Lập Trình Máy Vision Và Hệ Thống,Foster Electric (Bac Ninh) Co. Ltd,Thương lượng,"C#, Deep Learning, Deep Learning, Deep Learning, Lập Trình PLC, Lập Trình Python, Máy Tính",https://www.vietnamworks.com/nhan-vien-lap-trinh-may-vision-va-he-thong-1993310-jv,2025-12-16T12:42:42+07:00,2026-01-15T23:59:59+07:00
SAP Consultant (FICO/ SD/ MM/ EWM/ PP),Citek Technology Joint-Stock Company,Thương lượng,"Manage ERP Software, SAP S/4HANA, Financial Accounting, Project Management, Phân Tích Hệ Thống",https://www.vietnamworks.com/sap-consultant-fico-sd-mm-ewm-pp-1983450-jv,2025-11-19T11:25:29+07:00,2025-12-19T23:59:59+07:00
TMO _ Chuyên Viên Cấp Cao Công Nghệ Cloud (Cloud Engineering Manager),Ngân Hàng TMCP Á Châu (ACB),Thương lượng,"Cloud & AI, VPC - Network Firewall, Subnets, IaC & Monitoring: Terraform, Ansible, SCRUM & Agile",https://www.vietnamworks.com/tmo-_-chuyen-vien-cap-cao-cong-nghe-cloud-cloud-engineering-manager-1980835-jv,2025-12-15T10:29:46+07:00,2026-01-14T23:59:59+07:00
Security Engineer,LG Electronics Development Vietnam Company Limited,Thương lượng,"Cybersecurity, Embedded Linux, General Communication English, OS Security",https://www.vietnamworks.com/security-engineer-1983477-jv,2025-11-19T11:18:06+07:00,2025-12-19T23:59:59+07:00
Backend Developer (Go/java/python),Công Ty Cổ Phần Vinsmart Future,Thương lượng,"Golang, Java, Python, Microservice, DevOps",https://www.vietnamworks.com/backend-developer-go-java-python-1984966-jv,2025-11-24T11:06:16+07:00,2025-12-24T23:59:59+07:00
Project Coordinator,Athena Studio,Thương lượng,"Project Coordination, Project Management, Jira, Agile, Game Industry",https://www.vietnamworks.com/project-coordinator-1987365-jv,2025-11-28T16:55:35+07:00,2025-12-28T23:59:59+07:00
"Chuyên Gia Về Sản Phẩm Dịch Vụ Thanh Toán Số, Thanh Toán Trực Tuyến",Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam,Thương lượng,"Fintech, Lập Kế Hoạch, Nghiên Cứu Sản Phẩm, Phát Triển Sản Phẩm, Tiếng Anh",https://www.vietnamworks.com/chuyen-gia-ve-san-pham-dich-vu-thanh-toan-so-thanh-toan-truc-tuyen-1992283-jv,2025-12-12T11:22:16+07:00,2026-01-11T23:59:59+07:00
Senior Software Developer (With Sign-On Bonus),Netcompany,Thương lượng,"Back-end Programming, English, Java Developer, Java Spring, Java Spring, Java Spring, Java Spring, Java Spring, Java Spring",https://www.vietnamworks.com/senior-software-developer-with-sign-on-bonus-1989536-jv,2025-12-04T11:42:45+07:00,2026-01-03T23:59:59+07:00
Chuyên Gia Quản Lý Tuân Thủ,CÔNG TY CỔ PHẦN VINSMART FUTURE,Thương lượng,"Khoa Học Máy Tính, Kiểm Soát Tuân Thủ, Mô Phỏng Phân Tích, Quản Trị Hệ Thống CNTT, Kiểm Toán Độc Lập",https://www.vietnamworks.com/chuyen-gia-quan-ly-tuan-thu-1989107-jv,2025-12-03T11:41:55+07:00,2026-01-02T23:59:59+07:00
Giảng Viên Công Nghệ Thông Tin (Tiến Sĩ),Đại Học FPT TP.HCM,Thương lượng,"IT Phần Mềm, Teaching IT Subjects, Research",https://www.vietnamworks.com/giang-vien-cong-nghe-thong-tin-tien-si-1979021-jv,2025-12-16T11:46:33+07:00,2026-01-15T23:59:59+07:00
R&D Software Design Engineer,Panasonic Appliances Vietnam,Thương lượng,"Electrical Automation System, Computer Science, Embedded Software, RENESAS, Automation Software",https://www.vietnamworks.com/r-d-software-design-engineer-1985170-jv,2025-11-24T15:39:13+07:00,2025-12-24T23:59:59+07:00
Senior SAP SD Consultant,Bosch Global Software Technologies Company Limited,Thương lượng,"OTC, SAP, SAP ABAP, SAP SD Function",https://www.vietnamworks.com/senior-sap-sd-consultant-1978682-jv,2025-12-08T10:28:21+07:00,2026-01-07T23:59:59+07:00
Senior IT Business Analyst cum Product Manager,Dai-Ichi Life Vietnam,Thương lượng,"BA, Business Analysis, product owner, Product Manager, Insurance",https://www.vietnamworks.com/senior-it-business-analyst-cum-product-manager-1977692-jv,2025-12-08T17:52:18+07:00,2026-01-07T23:59:59+07:00
Product Manager AI,MISA Jointstock Company,Thương lượng,"AI, Data Analysis, Market Research, Product Management",https://www.vietnamworks.com/product-manager-ai-1978398-jv,2025-12-08T17:40:47+07:00,2026-01-07T23:59:59+07:00
"Expert Backend Engineer (AWS, DevOps)",Công Ty Cổ Phần Vàng Bạc Đá Quý Phú Nhuận (PNJ),Thương lượng,"AWS, Backend Application, NoSQL, API, AWS, Lambda, Lambda, NoSQL",https://www.vietnamworks.com/expert-backend-engineer-aws-devops-1985018-jv,2025-11-24T11:58:59+07:00,2025-12-24T23:59:59+07:00
AI/ Deep Learning Engineer (Kỹ Sư AI),CÔNG TY TRÁCH NHIỆM HỮU HẠN TOP ENGINEERING VINA,Thương lượng,"Deep Learning, Digital Image Processing, Python Programming, TensorFlow, Machine Vision, Deep Learning, Deep Learning",https://www.vietnamworks.com/ai-deep-learning-engineer-ky-su-ai-1985247-jv,2025-11-24T17:14:58+07:00,2025-12-24T23:59:59+07:00
Senior Backend Engineer (Python / AI / Azure),CÔNG TY CỔ PHẦN VINSMART FUTURE,Thương lượng,"Azure Cloud Service, Concurrent Programming, Object Oriented Programming, Python, SQL Optimization",https://www.vietnamworks.com/senior-backend-engineer-python-ai-azure-1985302-jv,2025-11-24T22:01:52+07:00,2025-12-24T23:59:59+07:00
Kỹ sư Quản Trị Hệ Thống,Tập Đoàn Bưu Chính Viễn Thông Việt Nam (VNPT),Thương lượng,"Bảo Mật Web, Linux, Quản Trị Hệ Thống, Quản Trị Mạng Máy Tính, Tiếng Anh",https://www.vietnamworks.com/ky-su-quan-tri-he-thong-1985147-jv,2025-11-24T15:08:21+07:00,2025-12-24T23:59:59+07:00
